seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
666,768,296,5334,128371,768,1
667,768,296,5352,128315,768,1
668,768,296,5334,128389,768,1
669,768,296,5408,128204,768,1
670,768,297,5352,128630,768,1
671,768,297,5352,128907,768,1
672,768,296,6074,129482,768,1
673,768,297,5352,130667,768,1
674,768,426,5352,128297,768,1
675,768,315,5315,128481,768,1
676,768,297,5333,128333,768,1
677,768,297,5333,128481,768,1
678,768,315,5296,128129,768,1
679,768,296,5297,128815,768,1
680,768,297,5259,128018,768,1
681,768,296,5315,128629,768,1
682,768,296,5278,128482,768,1
683,768,297,5351,128370,768,1
684,768,297,5278,127963,768,1
685,768,315,11000,139296,768,1
686,768,334,9592,135056,768,1
687,768,296,5871,128925,768,1
688,768,296,5722,128334,768,1
689,768,296,5352,175444,768,1
690,768,315,14389,154297,768,1
691,768,315,17166,163260,768,1
692,768,333,10759,137445,768,1
693,768,296,5982,129944,768,1
694,768,296,5445,128963,768,1
695,768,297,5333,128408,768,1
696,768,297,5333,128370,768,1
697,768,296,5352,128592,768,1
698,768,296,5371,128611,768,1
699,768,315,5333,129056,768,1
700,768,296,5352,129055,768,1
701,768,296,5407,128556,768,1
702,768,315,5315,128630,768,1
703,768,296,5352,128408,768,1
704,768,296,5666,129056,768,1
705,768,296,5334,130982,768,1
706,768,296,5333,136926,768,1
707,768,296,5630,451240,768,1
708,768,334,16074,144963,768,1
709,768,296,6222,130223,768,1
710,768,296,5463,128796,768,1
711,768,296,5445,130703,768,1
712,768,297,5722,129481,768,1
713,768,296,5371,128518,768,1
714,768,296,5333,128704,768,1
715,768,297,5426,129259,768,1
716,768,297,5315,128463,768,1
717,768,297,5277,128500,768,1
718,768,296,5352,128259,768,1
719,768,296,5463,129037,768,1
720,768,315,5463,128685,768,1
721,768,296,5352,128574,768,1
722,768,296,5259,128204,768,1
723,768,297,5240,128852,768,1
724,768,296,5278,129296,768,1
725,768,297,5296,128944,768,1
726,768,278,5315,128167,768,1
727,768,315,5278,128370,768,1
728,768,296,5259,128148,768,1
729,768,296,5204,128796,768,1
730,768,296,5259,129426,768,1
731,768,297,5203,128926,768,1
732,768,296,5278,128685,768,1
733,768,278,5278,128519,768,1
734,768,296,5278,128370,768,1
735,768,296,5296,128482,768,1
736,768,296,5426,128851,768,1
737,768,296,5278,128889,768,1
738,768,297,5240,128241,768,1
739,768,296,5278,128871,768,1
740,768,278,5241,128592,768,1
741,768,278,5278,130630,768,1
742,768,296,5278,128741,768,1
743,768,296,5334,128537,768,1
744,768,296,5278,128334,768,1
745,768,296,5260,128203,768,1
746,768,296,5259,128481,768,1
747,768,296,5241,127889,768,1
748,768,297,5241,128574,768,1
749,768,297,5259,128370,768,1
750,768,296,5241,128351,768,1
751,768,296,5222,128667,768,1
752,768,296,5389,128204,768,1
753,768,297,5296,128426,768,1
754,768,315,5204,127963,768,1
755,768,297,5222,128611,768,1
756,768,296,5315,128815,768,1
757,768,297,5240,128500,768,1
758,768,314,5223,129519,768,1
759,768,296,5259,128852,768,1
760,768,296,5241,128259,768,1
761,768,296,5222,128463,768,1
762,768,297,5259,129500,768,1
763,768,297,5259,128426,768,1
764,768,296,5241,162814,768,1
765,768,314,5908,129852,768,1
766,768,297,5370,128555,768,1
767,768,297,5314,128574,768,1
768,768,296,5519,128926,768,1
769,768,297,5277,128518,768,1
770,768,296,5297,128574,768,1
771,768,296,5260,128555,768,1
772,768,297,5444,128759,768,1
773,768,296,5259,128981,768,1
774,768,297,5277,128092,768,1
775,768,296,5185,128482,768,1
776,768,296,5185,127778,768,1
777,768,296,5185,127574,768,1
778,768,296,5222,127593,768,1
779,768,296,5259,127648,768,1
780,768,296,5167,128222,768,1
781,768,296,5186,127408,768,1
782,768,297,5240,127778,768,1
783,768,297,5241,128019,768,1
784,768,297,5388,127574,768,1
785,768,278,5037,127222,768,1
786,768,278,4981,126629,768,1
787,768,277,5260,127463,768,1
788,768,260,4925,127185,768,1
789,768,277,5019,126834,768,1
790,768,278,5019,127333,768,1
791,768,278,4945,126871,768,1
792,768,278,5000,127907,768,1
793,768,278,5037,127018,768,1
794,768,278,5018,127185,768,1
795,768,278,6482,127222,768,1
